"Select(selcol)
勾選","Return ID(breturnflag)
退貨單號","Business type(cbustype)
業務類型","Sales type(cstname)
銷售類型","Delivery Note No(cdlcode)
送貨單號","Shipment date(ddate)
送貨日期","Currency(cexch_name)
幣別","Exchange rate(iexchrate)
匯率","Customer name(ccusname)
客戶全名","Ship-to Address(cshipaddress)
收貨地址","Contact tel(ccusphone)
公司電話","Contact(ccusperson)
聯繫人（訂購人）","Sales department(cdepname)
銷售部門","Clerk(cpersonname)
業務員","Payment Terms(cpayname)
支付方式","Prepared by(cmaker)
建單人","Approved by(cverifier)
審核人","Table body order No(bodysocode)
銷售訂單號","Warehouse(cwhname)
倉庫名稱","Inventory Code(cinvcode)
存貨編號","Stock Code(cinvaddcode)
 產品附加編碼","Inventory name(cinvname)
存貨名稱","Specification(cinvstd)
存貨規格","Qty(iquantity)
送貨數量","Quotation(iquotedprice)
標準單價","Unit Price Incl Tax(itaxunitprice)
含稅單價","Unit Price Excl Tax(iunitprice)
未稅單價","Amount tax exclusive(imoney)
 未稅總金額","Tax(itax)
稅金","Total Amt(isum)
 含稅總金額","Tax rate (%)(bodytaxrate)
稅率","Discount rate (%)(kl)
折扣率（%）
","Discount rate 2 (%)(kl2)
折扣百分比","Discount amount(idiscount)
折扣金額","Memo(cmemo)
從大發分公司ERP 系統下載的訂單","DefineItem1(cdefine1)
收件人+手機號
（目前用友系統，key 單時, 沒有獨立的收件人手機號欄位。","Voucher headUser-defined item2(cdefine2)
客戶編號（自定義欄位2）","Voucher headUser-defined item3(cdefine3)
是否開立發票 （自定義欄位3）","Voucher headUser-defined item4(cdefine4)
自定義欄位4","Voucher headUser-defined item9(cdefine9)
識別號（用於區分這個訂單是由哪個業務單位負責）","So Hoa Don(cdefine13)
客戶發票名稱","Export Times(ioutgolden)
 出貨次數","Qty not issued(WCSL)
未出庫數量","Un-billed Quantity(WKSL)
 未開票數量","Un-billed Amount(WKJE)
未開票金額","Un-Received Amount(WSKYB)
未收款金額","Un-Received Amount In Local Currency(WSKBB)
未收款金額（本幣）","Customer's Privilege Code Of Classfiction(caccode)
客戶優惠分類代碼","Customer's Privilege Of Classfiction(cacname)
客戶優惠分類名稱"
,No,General sales,中秋節/Trung Thu,0000181255,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,738 Su Van Hanh phuong Hoa Hung TPHCM,02838634833-35,Y?N,CH Landmark81,Hu?nh Th? Tuy?t Mai,Chuy?n Kho?n,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157763,Tp L? H?p Trung Thu,3502183,M804,L? h?p Ho?ng Kim 804  - NEW,2 h?p/ th?ng,2,852000,852000,788888.89,1577777.78,126222.22,1704000,8,100,100,0,??n h?ng t? CNDP,TI?N,3700341674-001,C? Ho? ??n,2025/7/24,LM-012,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,2,2,1704000,1704000,1704000,,
,No,General sales,中秋節/Trung Thu,0000181256,2025-07-24,VND,1,C?NG TY TNHH MM MEGA MARKET (VI?T NAM),Kho ??i Ph?t,,Kim Ph?ng,Kinh Doanh N?i ??a,Nguy?n Kim Ph?ng,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157766,Tp L? H?p Trung Thu,3502008,M103,L? H?p Ti?u Chu?n 103,20 h?p/th?ng,1,226000,0,0,0,0,0,8,0,100,226000,,Kim Ph?ng,0302249586,Kh?ng Ho? ??n,,,C?NG TY TNHH MM MEGA MARKET (VI?T NAM),0,0,1,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181256,2025-07-24,VND,1,C?NG TY TNHH MM MEGA MARKET (VI?T NAM),Kho ??i Ph?t,,Kim Ph?ng,Kinh Doanh N?i ??a,Nguy?n Kim Ph?ng,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157766,Tp L? H?p Trung Thu,3502010,M201,L? H?p H?o H?ng 201,8 h?p/th?ng,1,349000,0,0,0,0,0,8,0,100,349000,,Kim Ph?ng,0302249586,Kh?ng Ho? ??n,,,C?NG TY TNHH MM MEGA MARKET (VI?T NAM),0,0,1,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181256,2025-07-24,VND,1,C?NG TY TNHH MM MEGA MARKET (VI?T NAM),Kho ??i Ph?t,,Kim Ph?ng,Kinh Doanh N?i ??a,Nguy?n Kim Ph?ng,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157766,Tp L? H?p Trung Thu,3502142,M204,L? H?p H?o H?ng 204,6 h?p/th?ng,1,694000,0,0,0,0,0,8,0,100,694000,,Kim Ph?ng,0302249586,Kh?ng Ho? ??n,,,C?NG TY TNHH MM MEGA MARKET (VI?T NAM),0,0,1,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181256,2025-07-24,VND,1,C?NG TY TNHH MM MEGA MARKET (VI?T NAM),Kho ??i Ph?t,,Kim Ph?ng,Kinh Doanh N?i ??a,Nguy?n Kim Ph?ng,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157766,Tp L? H?p Trung Thu,3502014,M301,L? H?p ??c Bi?t 301,10 h?p/th?ng,1,472000,0,0,0,0,0,8,0,100,472000,,Kim Ph?ng,0302249586,Kh?ng Ho? ??n,,,C?NG TY TNHH MM MEGA MARKET (VI?T NAM),0,0,1,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181256,2025-07-24,VND,1,C?NG TY TNHH MM MEGA MARKET (VI?T NAM),Kho ??i Ph?t,,Kim Ph?ng,Kinh Doanh N?i ??a,Nguy?n Kim Ph?ng,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157766,Tp L? H?p Trung Thu,3502020,M602,L? H?p Cao C?p 602,6 h?p/th?ng,1,673000,0,0,0,0,0,8,0,100,673000,,Kim Ph?ng,0302249586,Kh?ng Ho? ??n,,,C?NG TY TNHH MM MEGA MARKET (VI?T NAM),0,0,1,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181256,2025-07-24,VND,1,C?NG TY TNHH MM MEGA MARKET (VI?T NAM),Kho ??i Ph?t,,Kim Ph?ng,Kinh Doanh N?i ??a,Nguy?n Kim Ph?ng,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157766,Tp L? H?p Trung Thu,3502077,M700,L? H?p L?c Thu 700,6 h?p/th?ng,1,826000,0,0,0,0,0,8,0,100,826000,,Kim Ph?ng,0302249586,Kh?ng Ho? ??n,,,C?NG TY TNHH MM MEGA MARKET (VI?T NAM),0,0,1,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181256,2025-07-24,VND,1,C?NG TY TNHH MM MEGA MARKET (VI?T NAM),Kho ??i Ph?t,,Kim Ph?ng,Kinh Doanh N?i ??a,Nguy?n Kim Ph?ng,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157766,Tp L? H?p Trung Thu,3502026,M810,L? H?p Ho?ng Kim 810,8 h?p/th?ng,1,540000,0,0,0,0,0,8,0,100,540000,,Kim Ph?ng,0302249586,Kh?ng Ho? ??n,,,C?NG TY TNHH MM MEGA MARKET (VI?T NAM),0,0,1,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181256,2025-07-24,VND,1,C?NG TY TNHH MM MEGA MARKET (VI?T NAM),Kho ??i Ph?t,,Kim Ph?ng,Kinh Doanh N?i ??a,Nguy?n Kim Ph?ng,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157766,Tp L? H?p Trung Thu,3502027,M880,L? H?p Ho?ng Gia 880,8 h?p/ th?ng,1,673000,0,0,0,0,0,8,0,100,673000,,Kim Ph?ng,0302249586,Kh?ng Ho? ??n,,,C?NG TY TNHH MM MEGA MARKET (VI?T NAM),0,0,1,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181257,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157769,Tp L? H?p Trung Thu,3502030,M902,L? H?p Ho?ng Tri?u 902,2 h?p/th?ng,4,1388000,0,0,0,0,0,8,0,100,5552000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA6,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,0,4,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181257,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157769,Tp L? H?p Trung Thu,3502032,M999,L? H?p Cung ??nh 999,6 h?p/th?ng,2,1980000,0,0,0,0,0,8,0,100,3960000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA6,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,0,2,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181258,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157771,Tp V?-C?i Trung Thu,3009013,,HK?B Th?p C?m B?t B?u 150g (1 tr?ng),40 c?i/th?ng,10,104000,0,0,0,0,0,8,0,100,1040000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA8,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,0,10,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181258,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157771,Tp V?-C?i Trung Thu,3009014,,HK?B Th?p C?m G? Quay 150g (1 tr?ng),40 c?i/th?ng,10,104000,0,0,0,0,0,8,0,100,1040000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA8,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,0,10,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181258,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157771,Tp V?-C?i Trung Thu,3009015,,HK?B Khoai m?n 150g (1 tr?ng),40 c?i/th?ng,10,85000,0,0,0,0,0,8,0,100,850000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA8,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,0,10,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181258,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157771,Tp V?-C?i Trung Thu,3009016,,HK?B S?a D?a 150g (1 tr?ng),40 c?i/th?ng,10,85000,0,0,0,0,0,8,0,100,850000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA8,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,0,10,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181258,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157771,Tp V?-C?i Trung Thu,3009224,,B?nh TT D?o H?nh nh?n h?t d? 150g,150g/c?i,5,95000,0,0,0,0,0,8,0,100,475000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA8,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,0,5,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181258,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157771,Tp V?-C?i Trung Thu,3009165,,B?nh TT D?o H?t Sen d?a 150g,40 c?i/th?ng,5,95000,0,0,0,0,0,8,0,100,475000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA8,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,0,5,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181258,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157771,Tp V?-C?i Trung Thu,3009166,,B?nh TT D?o H?nh Nh?n H?t D? 200g (2 tr?ng),40 c?i/th?ng,5,122000,0,0,0,0,0,8,0,100,610000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA8,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,0,5,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181258,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157771,Tp V?-C?i Trung Thu,3009225,,B?nh TT D?o H?t Sen D?a 200g (2 tr?ng),200g/c?i,5,122000,0,0,0,0,0,8,0,100,610000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA8,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,0,5,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181259,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157773,Tp V?-C?i Trung Thu,3009017,,HKCC S?a D?a 200g (2 tr??ng),40 c?i/th?ng,5,140000,0,0,0,0,0,8,0,100,700000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA9,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,5,5,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181259,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157773,Tp V?-C?i Trung Thu,3009018,,HKCC Th?p C?m B?t B?u 200g (2 tr??ng),40 c?i/th?ng,5,160000,0,0,0,0,0,8,0,100,800000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA9,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,5,5,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181259,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157773,Tp V?-C?i Trung Thu,3009043,,HKCC H?t Sen H?nh Nh?n 200g (2 tr??ng),40 c?i/th?ng,5,140000,0,0,0,0,0,8,0,100,700000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA9,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,5,5,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181259,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157773,Tp V?-C?i Trung Thu,3009044,,HKCC Th?p C?m G? Quay 200g (2 tr??ng),40 c?i/th?ng,5,160000,0,0,0,0,0,8,0,100,800000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA9,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,5,5,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181259,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157773,Tp V?-C?i Trung Thu,3009075,,TTHK H?nh Nh?n H?t D? chay 200g,40 c?i/th?ng,5,118000,0,0,0,0,0,8,0,100,590000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA9,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,5,5,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181259,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157773,Tp V?-C?i Trung Thu,3009041,,TTHK S?a D?a Chay 200g,40 c?i/th?ng,5,118000,0,0,0,0,0,8,0,100,590000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA9,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,5,5,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181259,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157773,Tp V?-C?i Trung Thu,3009021,,Ph? Qu? H?i Con - Th?p C?m G? Quay,40 con/th?ng,5,134000,0,0,0,0,0,8,0,100,670000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA9,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,5,5,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181259,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157773,Tp V?-C?i Trung Thu,3009024,,Ph? Qu? H?i Con - S?a D?a,40 con/th?ng,5,119000,0,0,0,0,0,8,0,100,595000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA9,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,5,5,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181260,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157774,Tp V?-C?i Trung Thu,3001034,,B?nh t? tr?i th?m 30g,150 c?i/th?ng,20,17000,0,0,0,0,0,8,0,100,340000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA10,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,20,20,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181260,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157774,Tp V?-C?i Trung Thu,3001036,,B?nh T? D?a Gang 30g,150 c?i/th?ng,20,17000,0,0,0,0,0,8,0,100,340000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA10,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,20,20,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181260,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157774,Tp V?-C?i Trung Thu,3001040,,B?nh T? S?u Ri?ng 30g,150 c?i/th?ng,20,17000,0,0,0,0,0,8,0,100,340000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA10,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,20,20,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181260,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157774,Tp V?-C?i Trung Thu,0505081,,B?nh t? mochi tr?i th?m 35g (c?i),35g/ c?i,20,17000,0,0,0,0,0,8,0,100,340000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA10,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,20,20,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181260,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157774,Tp V?-C?i Trung Thu,3001037,,B?nh t? nam vi?t qu?t 48g,108 c?i/th?ng,10,33000,0,0,0,0,0,8,0,100,330000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA10,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,10,10,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181260,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157774,Tp V?-C?i Trung Thu,3001038,,B?nh T? Nh?n Nh?c 48g,108 c?i/th?ng,10,33000,0,0,0,0,0,8,0,100,330000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA10,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,10,10,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181260,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157774,Tp V?-C?i Trung Thu,3001039,,B?nh T? Tr?ng Mu?i 48g,108 c?i/th?ng,10,33000,0,0,0,0,0,8,0,100,330000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA10,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,10,10,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181261,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157775,Tp V?-C?i Trung Thu,3009081,,Trung Thu Tuy?t - Xo?i,72 c?i/th?ng,5,56000,0,0,0,0,0,8,0,100,280000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA11,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,5,5,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181261,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157775,Tp V?-C?i Trung Thu,3009074,,Trung Thu Tuy?t - S?u Ri?ng,72 c?i/th?ng,5,56000,0,0,0,0,0,8,0,100,280000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA11,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,5,5,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181261,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157775,Tp V?-C?i Trung Thu,3009073,,Trung Thu Tuy?t - Ph?c B?n T?,72 c?i/th?ng,5,56000,0,0,0,0,0,8,0,100,280000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA11,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,5,5,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181261,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157775,Tp V?-C?i Trung Thu,3009072,,Trung Thu Tuy?t - Kiwi,72 c?i/th?ng,5,56000,0,0,0,0,0,8,0,100,280000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA11,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,5,5,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181262,2025-07-24,VND,1,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,KHO ??I PH?T - VP L?U 3,,PH??NG ANH,T? nh?n ??n,Tr?n Ph??ng Anh,Kh?c,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157780,Tp L? H?p Trung Thu,3502018,M501,L? H?p Trung Thu Tuy?t 501,4 h?p/th?ng,4,498000,0,0,0,0,0,8,0,100,1992000,,PH??NG ANH,3700341674,Kh?ng Ho? ??n,,PA12,C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,4,4,0,0,0,,
